date,Birdlife name,Purple means Butchart et al. BBOC think species is extinct; yellow is extinct in wild,Date known (purple agrees with Butchart et al,Date extinction Best guess ,years observed (-ve for fossils),Sound Index,comments,
1963,Atlantisia podarces ,ST HELENA CRAKE (E) ,1963,1502,-461,999,,
1975,Dysmoropelia dekarchiskos ,ST HELENA DOVE (E) ,1975,1502,-473,999,,
1973,Porzana astrictocarpus ,ST HELENA RAIL (E) ,1973,1502,-471,999,soon after this date,
1975,Pterodroma rupinarum ,LARGE ST HELENA PETREL (E),1975,1502,-473,999,soon after this date,
1975,Upupa antaois ,ST HELENA HOOPOE (E) ,1975,1502,-473,999,soon after this date,
1975,Bulweria bifax ,SMALL ST HELENA PETREL (E),1975,1550,-425,999,,
1994,Mascarenotus grucheti ,RÉUNION OWL (E) ,1994,1620,-374,999,,
1989,Porphyrio kukwiedei ,NEW CALEDONIA GALLINULE (E) ,1989,1650,-339,999,,
1758,Raphus cucullatus ,DODO (E) ,1758,1662,-96,999,,
1994,Falco buboisi (duboisi??),RÉUNION KESTREL (E) ,1994,1672,-322.5,999,,
1907,Nycticorax duboisi ,RÉUNION NIGHT-HERON (E) ,1907,1674,-233,999,only description,
1866,Lophopsittacus mauritianus ,BROAD-BILLED PARROT (E),1866,1675,-191,999,,
1867,Fulica newtoni ,MASCARENE COOT (E) ,1867,1683,-184.5,999,,
1893,Nycticorax mauritianus ,MAURITIUS NIGHT-HERON (E) ,1893,1693,-200,999,only description,
1848,Aphanapteryx bonasia ,RED RAIL (E) ,1848,1697,-151,999,,
1758,Alopochen mauritianus ,MAURITIAN SHELDUCK (E) ,1758,1698,-60,999,described from bones,
1893,Anas theodori ,MAURITIAN DUCK (E) ,1893,1703,-190,999,,
1848,Threskiornis solitarius ,RÉUNION FLIGHTLESS IBIS (E) ,1848,1705,-143,999,,
1994,Mascarenachen kervazoi ,RÉUNION ISLAND SHELDGOOSE (E),1994,1710,-284,999,,
1867,Necropsittacus rodericanus ,RODRIGUES PARROT (E) ,1867,1721,-146.5,999,,
1907,Columba duboisi ,RÉUNION PIGEON (E) ,1907,1725,-182,999,,
1873,Mascarenotus murivorus ,RODRIGUES OWL (E) ,1873,1726,-147,999,,
1879,Necropsar rodericanus ,RODRIGUES STARLING (E) ,1879,1726,-153,999,Known from bones,
1848,Porphyrio coerulescens ,RÉUNION GALLINULE (E) ,1848,1730,-118,999,,
1874,Alectroenas rodericana ,RODRIGUES PIGEON (E) ,1874,1738,-136,999,estimate 1st half of 18th century,
1874,Aphanapteryx leguati ,RODRIGUES RAIL (E) ,1874,1744,-130.5,999,,
1975,Nannococcyx psix ,ST HELENA CUCKOO (E) ,1975,1750,-225,999,,
1905,Ara guadeloupensis ,LESSER ANTILLEAN MACAW (E) ,1905,1760,-145,999,,
1873,Nycticorax megacephalus ,RODRIGUES NIGHT-HERON (E) ,1873,1761,-112,999,,
1789,Prosobonia leucoptera ,TAHITIAN SANDPIPER (E) ,1789,1773,-16,999,known only from type,
1844,Gallicolumba ferruginea ,TANNA GROUND-DOVE (E) ,1844,1774,-70,999,known only from painting,
1905,Amazona martinicana ,MARTINIQUE PARROT (E) ,1905,1775,-130,999,estimate latter half of 18th century,
1905,Aratinga labati ,GUADELOUPE PARAKEET (E) ,1905,1775,-130,999,second half of 18th cent.,
1906,Prosobonia ellisi ,WHITE-WINGED SANDPIPER (E) ,1906,1780,-126,999,,
1784,Porzana nigra ,MILLER'S RAIL (E) ,1784,1785,1,999,soon after this date,
1905,Ara gossei ,JAMAICAN RED MACAW (E) ,1905,1790,-115,999,,
1771,Mascarinus mascarinus ,MASCARENE PARROT (E) ,1771,1790,19,999,1834 - single survivor in menagerie,
1996,Anas marecula ,AMSTERDAM ISLAND DUCK (E) ,1996,1793,-203,999,,
1789,Amazona violacea ,GUADELOUPE PARROT (E) ,1789,1795,6,999,"rare in 1779, extinct soon after; known in 1654",
1908,Ara atwoodi ,DOMINICAN GREEN-AND-YELLOW MACAW (E) ,1908,1799,-109,999,known only from writings,
1973,Atlantisia elpenor ,ASCENSION FLIGHTLESS CRAKE (E) ,1973,1799,-174,999,known from 1615 sketch only,
1973,Lophopsittacus bensoni ,MAURITIUS GREY PARROT (E) ,1973,1799,-174,999,"abundant in 1764, no extinction estimate",
1817,Dromaius ater ,KING ISLAND EMU (E) ,1817,1802,-15,999,known only from type,
1801,Gallicolumba norfolciensis ,NORFOLK ISLAND GROUND-DOVE (E) ,1801,1802,1,999,,
1870,Sporophila melanops ,Hooded Seedeater,1870,1823,-47,999,,
1899,Myadestes oahensis ,'AMAUI (E) ,1825,1826,1,999,known only from type collected in 1825,
1984,Dromaius baudinianus ,KANGAROO ISLAND EMU (E) ,1802,1827,25,999,taxonomic revision raised it to species,
1786,Alectroenas nitidissima ,MAURITIUS BLUE-PIGEON (E) ,1786,1828,42,999,,
1828,Pomarea pomarea ,MAUPITI MONARCH (E) ,1828,1829,1,999,known only from type,
1827,Coua delalandei ,DELALANDE'S COUA (E),1827,1834,7,999,,
1790,Porphyrio albus ,LORD HOWE ISLAND SWAMPHEN (E),1790,1834,44,999,,
1858,Porzana monasa ,KOSRAE CRAKE (E) ,1858,1834,-24,999,known only from type,
1893,Mascarenotus sauzieri ,MAURITIUS OWL (E) ,1893,1837,-56,999,described from bones,
1790,Cyanoramphus zealandicus ,BLACK-FRONTED PARAKEET (E) ,1790,1842,52,999,,
